iter	Passed	Remaining
906	6609	677
907	6614	670
908	6619	662
909	6624	655
910	6629	647
911	6634	640
912	6639	632
913	6644	625
914	6650	617
915	6656	610
916	6661	602
917	6666	595
918	6670	587
919	6676	580
920	6681	573
921	6686	565
922	6691	558
923	6696	550
924	6701	543
925	6706	535
926	6711	528
927	6716	521
928	6722	513
929	6727	506
930	6732	498
931	6737	491
932	6742	484
933	6751	477
934	6759	469
935	6764	462
936	6772	455
937	6779	448
938	6785	440
939	6791	433
940	6797	426
941	6803	418
942	6809	411
943	6815	404
944	6821	397
945	6827	389
946	6833	382
947	6839	375
948	6845	367
949	6851	360
950	6857	353
951	6863	346
952	6869	338
953	6877	331
954	6883	324
955	6889	317
956	6896	309
957	6902	302
958	6908	295
959	6914	288
960	6925	281
961	6934	273
962	6946	266
963	6953	259
964	6961	252
965	6969	245
966	6981	238
967	6988	231
968	6998	223
969	7007	216
970	7014	209
971	7022	202
972	7029	195
973	7035	187
974	7055	180
975	7062	173
976	7075	166
977	7082	159
978	7091	152
979	7097	144
980	7104	137
981	7110	130
982	7115	123
983	7124	115
984	7130	108
985	7139	101
986	7144	94
987	7154	86
988	7161	79
989	7173	72
990	7182	65
991	7188	57
992	7193	50
993	7203	43
994	7208	36
995	7216	28
996	7221	21
997	7226	14
998	7234	7
999	7240	0
